Scan#: 1	ScanningTime: ,00	#APsFound: 16	DB: 0.0	Date: Mon Jun 01 12:58:49 GMT+01:00 2015
37.9750568	23.7266731	-65	2437	04:18:d6:e7:35:a3	Desconocido
37.9750568	23.7266731	-93	2437	0a:18:d6:93:0e:05	Le Bjur
37.9750568	23.7266731	-95	2437	04:18:d6:93:0e:05	City Zen Enter The WiFi
37.9750568	23.7266731	-94	2462	24:a4:3c:99:ad:e3	Desconocido
37.9750568	23.7266731	-86	2457	d8:74:95:f3:9f:78	OTEf39f78
37.9750568	23.7266731	-92	2452	cc:7b:35:0d:af:f0	petros
37.9750568	23.7266731	-91	2412	00:1e:52:78:94:dc	Epsilon World
37.9750568	23.7266731	-95	2452	d4:21:22:4c:fe:49	OTE4CFE49
37.9750568	23.7266731	-96	2452	2a:a4:3c:ed:76:cb	AforAthensRoof
37.9750568	23.7266731	-63	2412	e6:2d:02:ed:03:26	ALCATEL ONE TOUCH IDOL ULTRA
37.9750568	23.7266731	-86	2412	2a:a4:3c:df:01:a5	AforAthensRoof
37.9750568	23.7266731	-88	2437	78:54:2e:f8:a4:48	nic
37.9750568	23.7266731	-88	2412	e8:94:f6:2f:4c:3e	Thisissparta!
37.9750568	23.7266731	-92	2437	00:1d:aa:c4:22:c0	Centrale
37.9750568	23.7266731	-92	2422	c4:6e:1f:50:71:79	eliza!2
37.9750568	23.7266731	-96	2422	6a:6e:1f:50:71:7a	Eliza_Guest
Scan#: 2	ScanningTime: 1,96	#APsFound: 19	DB: 16.0	Date: Mon Jun 01 12:58:53 GMT+01:00 2015
37.9750672	23.7267374	-74	2437	04:18:d6:e7:35:a3	Desconocido
37.9750672	23.7267374	-89	2437	0a:18:d6:93:0e:05	Le Bjur
37.9750672	23.7267374	-82	2437	04:18:d6:93:0e:05	City Zen Enter The WiFi
37.9750672	23.7267374	-91	2462	24:a4:3c:99:ad:e3	Desconocido
37.9750672	23.7267374	-88	2457	d8:74:95:f3:9f:78	OTEf39f78
37.9750672	23.7267374	-95	2452	cc:7b:35:0d:af:f0	petros
37.9750672	23.7267374	-91	2412	00:1e:52:78:94:dc	Epsilon World
37.9750672	23.7267374	-88	2452	2a:a4:3c:ed:76:cb	AforAthensRoof
37.9750672	23.7267374	-81	2412	e6:2d:02:ed:03:26	ALCATEL ONE TOUCH IDOL ULTRA
37.9750672	23.7267374	-94	2412	2a:a4:3c:df:01:a5	AforAthensRoof
37.9750672	23.7267374	-91	2437	78:54:2e:f8:a4:48	nic
37.9750672	23.7267374	-92	2412	e8:94:f6:2f:4c:3e	Thisissparta!
37.9750672	23.7267374	-95	2437	00:1d:aa:c4:22:c0	Centrale
37.9750672	23.7267374	-92	2412	2a:a4:3c:a3:62:37	Le Bjur
37.9750672	23.7267374	-93	2472	54:22:f8:21:85:b0	conn-x2185b0
37.9750672	23.7267374	-98	2442	4c:5e:0c:60:22:99	Intranet
37.9750672	23.7267374	-92	2412	04:18:d6:87:68:ec	City Zen Enter The WiFi
37.9750672	23.7267374	-92	2412	24:a4:3c:a3:62:37	City Zen Enter The WiFi
37.9750672	23.7267374	-96	2457	34:4d:ea:f2:72:f9	OTE WiFi Fon
Scan#: 3	ScanningTime: 3,73	#APsFound: 17	DB: 22.0	Date: Mon Jun 01 12:58:57 GMT+01:00 2015
37.9750668	23.726778	-61	2437	04:18:d6:e7:35:a3	Desconocido
37.9750668	23.726778	-84	2437	0a:18:d6:93:0e:05	Le Bjur
37.9750668	23.726778	-82	2437	04:18:d6:93:0e:05	City Zen Enter The WiFi
37.9750668	23.726778	-91	2462	24:a4:3c:99:ad:e3	Desconocido
37.9750668	23.726778	-84	2457	d8:74:95:f3:9f:78	OTEf39f78
37.9750668	23.726778	-94	2452	cc:7b:35:0d:af:f0	petros
37.9750668	23.726778	-93	2412	00:1e:52:78:94:dc	Epsilon World
